0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0-4,0.48421053,0.51053937,0.30812590,0.1644436,0.21414351,0.45369240,0.55664279,0.45854232,0.22816901,0.18950343,0.22602075,0.16394017,0.15274534,0.11476253,0.044819621,0.09702613
5-9,0.52186126,0.94117647,0.64117959,0.2613150,0.17727400,0.36273916,0.70690296,0.69337634,0.58733224,0.17141210,0.11659518,0.10965219,0.20460882,0.14116448,0.047632280,0.28486202
10-14,0.33301737,0.67794201,0.80392157,0.5835051,0.07118481,0.12270339,0.38165865,0.63543506,0.75425699,0.30876528,0.17354835,0.23154264,0.15074619,0.19113585,0.144501613,0.10819345
15-19,0.15667579,0.24356976,0.51438803,0.9619048,0.46888477,0.15727384,0.13651624,0.31934147,0.55375320,0.49336848,0.26457208,0.16562054,0.09899149,0.19047301,0.155323853,0.26152719
20-24,0.18781293,0.15210370,0.05776559,0.4316202,0.69491525,0.45618019,0.15852340,0.13126343,0.22168851,0.39671599,0.29602863,0.17203993,0.08829429,0.04434500,0.024703220,0.10976230
25-29,0.40088336,0.31356323,0.10031697,0.1458573,0.45959191,0.45762712,0.28311200,0.11671650,0.13174056,0.11005281,0.23085722,0.24067955,0.15543080,0.06682484,0.041174609,0.01694915
30-34,0.50112709,0.62259448,0.31791259,0.1289944,0.16272119,0.28845167,0.61666667,0.27453978,0.16538632,0.09393943,0.18600039,0.16513585,0.15546880,0.10103059,0.016666667,0.16407917
35-39,0.45261111,0.66955918,0.58033434,0.3308386,0.14773009,0.13038317,0.30100919,0.58571429,0.35069689,0.13480778,0.19783908,0.12545105,0.22107703,0.19588951,0.046835914,0.11395237
40-44,0.20099256,0.50615245,0.61475772,0.5119820,0.22266192,0.13133677,0.16182723,0.31297487,0.37096774,0.20528758,0.14259093,0.06902527,0.20404988,0.21917750,0.203492472,0.14071324
45-49,0.17997740,0.15926361,0.27132554,0.4917987,0.42959581,0.11828932,0.09910088,0.12970899,0.22132998,0.54545455,0.16936075,0.21356569,0.07817917,0.07416604,0.115141098,0.15487888
50-54,0.19319097,0.09749745,0.13725251,0.2373546,0.28850387,0.22331887,0.17659608,0.17131871,0.13835889,0.15242295,0.28787879,0.23368819,0.12202930,0.03427523,0.108719056,0.18575000
55-59,0.15354394,0.10047054,0.20065019,0.1628083,0.18371981,0.25511145,0.17179771,0.11903531,0.07338919,0.21060945,0.25606225,0.38888889,0.25871620,0.06240217,0.009259259,0.28239925
60-64,0.16791529,0.22004971,0.15333099,0.1142182,0.11067113,0.19337612,0.18984284,0.24621818,0.25464509,0.09049247,0.15694516,0.30366772,0.40909091,0.24139830,0.111669213,0.03030303
65-69,0.13607306,0.16374635,0.20968892,0.2370394,0.05995096,0.08967129,0.13306187,0.23530839,0.29501539,0.09259259,0.04754599,0.07899952,0.26036581,0.40740741,0.227653038,0.01851852
70-74,0.05504956,0.05723494,0.16421759,0.2002345,0.03459542,0.05723460,0.02273857,0.05827991,0.28373354,0.14890700,0.15622583,0.01214268,0.12476617,0.23582350,0.272727273,0.32612260
75+,0.07010574,0.20136018,0.07233144,0.1983338,0.09042687,0.01385978,0.13168825,0.08341467,0.11541878,0.11783008,0.15702008,0.21786182,0.01991722,0.01128494,0.191849249,0.62500000
